title,whole_day,arrival_or_departure,accommodation
Afghanistan,30,20,95
Ägypten,50,33,112
Äthiopien,39,26,130
Äquatorialguinea,42,28,166
Albanien,27,18,112
Algerien,47,32,120
Andorra,41,28,91
Angola,52,35,299
Argentinien,35,24,113
Armenien,24,16,59
Aserbaidschan,44,29,88
Australien: Canberra,74,49,186
Australien: Sydney,57,38,173
Australien,57,38,173
Bahrain,48,32,153
Bangladesch,50,33,165
Barbados,54,36,206
Belgien,59,40,141
Benin,52,35,115
Bolivien,46,31,108
Bosnien und Herzegowina,23,16,75
Botsuana,46,31,176
Brasilien: Brasilia,51,34,88
Brasilien: Rio de Janeiro,69,46,140
Brasilien: Sao Paulo,46,31,151
Brasilien,46,31,88
Brunei,52,35,106
Bulgarien,22,15,115
Burkina Faso,38,25,174
Burundi,36,24,138
Chile,44,29,154
China: Chengdu,41,28,131
China: Hongkong,71,48,169
China: Kanton,36,24,150
China: Peking,30,20,185
China: Shanghai,58,39,217
China,48,32,112
Costa Rica,47,32,93
Côte d’Ivoire,59,40,166
Dänemark,75,50,183
Deutschland,28,14,0
Dominikanische Republik,50,33,167
Dschibuti,77,52,255
Ecuador,27,18,103
El Salvador,65,44,161
Eritrea,50,33,91
Estland,29,20,85
Fidschi,32,21,183
Finnland,54,36,171
"Frankreich: Paris sowie die Departments 77, 78, 91 bis 95",58,39,159
Frankreich,53,36,105
Gabun,52,35,183
Gambia,40,27,161
Georgien,45,30,87
Ghana,46,31,148
Griechenland: Athen,40,27,139
Griechenland,36,24,150
Guatemala,34,23,90
Guinea,59,40,140
Guinea-Bissau,32,21,113
Haiti,58,39,130
Honduras,57,38,198
Indien: Chennai,32,21,85
Indien: Kalkutta,35,24,145
Indien: Mumbai,50,33,146
Indien: Neu Delhi,38,25,185
Indien,32,21,85
Indonesien,36,24,134
Iran,33,22,196
Irland,58,39,129
Island,62,41,187
Israel,66,44,190
Italien: Mailand,42,28,191
Italien: Rom,48,32,150
Italien,42,28,150
Jamaika,39,26,171
Japan: Tokio,50,33,285
Japan,52,35,190
Jemen,24,16,95
Jordanien,57,38,134
Kambodscha,38,25,94
Kamerun,56,37,275
Kanada: Ottawa,62,41,214
Kanada: Toronto,54,36,392
Kanada: Vancouver,63,42,304
Kanada,54,36,214
Kap Verde,38,25,90
Kasachstan,45,30,111
Katar,56,37,149
Kenia,51,34,219
Kirgisistan,27,18,74
Kolumbien,46,31,115
"Kongo, Republik",62,41,215
"Kongo, Demokratische Republik",70,47,190
