name,title
rk,Römisch-Katholische Kirchensteuer
ev,Evangelische Kirchensteuer
lt,Evangelisch lutherisch
rf,Evangelisch reformiert
ak,Altkatholische Kirchensteuer
is,Israelitische/Jüdische Kultussteuer
fb,Freireligiöse Landesgemeinde Baden
ib,Israelitische Religionsgemeinschaft Baden
fs,Freireligiöse Gemeinde Offenbach/Main
fg,Freireligiöse Landesgemeinde Pfalz
fm,Freireligiöse Gemeinde Mainz
jh,Jüdische Kultussteuer
jd,Jüdische Kultussteuer
ih,Jüdische Kultussteuer
iw,Israelitische Religionsgemeinschaft Württembergs
il,Israelitische Kultussteuer der kultusberechtigten Gemeinden
fr,Französisch reformiert
fa,Freie Religionsgemeinschaft Alzey
